,sentence,labels
0,"Association football, more commonly known as football or soccer, is a team sport played with a spherical ball between two teams of 11 players.",0
1,"It is played by approximately 250 million players in over 200 countries and dependencies, making it the world's most popular sport.",0
2,The game is played on a rectangular field called a pitch with a goal at each end.,0
3,The object of the game is to outscore the opposition by moving the ball beyond the goal line into the opposing goal.,0
4,The team with the higher number of goals wins the game.,0
5,Football is played in accordance with a set of rules known as the Laws of the Game.,0
6,The ball is 68–70 cm (27–28 in) in circumference and known as the football.,0
7,"The two teams each compete to get the ball into the other team's goal (between the posts and under the bar), thereby scoring a goal.",0
8,The team that has scored more goals at the end of the game is the winner; if both teams have scored an equal number of goals then the game is a draw.,0
9,"Each team is led by a captain who has only one official responsibility as mandated by the Laws of the Game: to represent their team in the coin toss prior to kick-off or penalty kicks.Players are not allowed to touch the ball with hands or arms while it is in play, except for the goalkeepers within the penalty area.",0
10,"Other players mainly use their feet to strike or pass the ball, but may also use any other part of their body except the hands and the arms.",0
11,The team that scores most goals by the end of the match wins.,0
12,"If the score is level at the end of the game, either a draw is declared or the game goes into extra time or a penalty shootout depending on the format of the competition.",0
13,"Football is governed internationally by the International Federation of Association Football (FIFA; French: Fédération Internationale de Football Association), which organises World Cups for both men and women every four years.",0
14,"The FIFA World Cup has taken place every four years since 1930 with the exception of 1942 and 1946 tournaments, which were cancelled due to World War II.",0
15,Approximately 190–200 national teams compete in qualifying tournaments within the scope of continental confederations for a place in the finals.,0
16,"The finals tournament, which is held every four years, involves 32 national teams competing over a four-week period.",0
17,"It is the most prestigious football tournament in the world as well as the most widely viewed and followed sporting event in the world, exceeding the Olympic Games.",0
18,The most prestigious competition in club football is the UEFA Champions League which attracts an extensive television audience throughout the world.,0
19,"The final of the tournament has been, in recent years, the most-watched annual sporting event in the world.",0
20,"The top five European leagues are the Premier League (England), La Liga (Spain), Bundesliga (Germany), Serie A (Italy), and Ligue 1 (France).",0
21,"Attracting most of the world's best players, each of the leagues has a total wage cost in excess of £600 million/€763 million/US$1.185 billion.Football is one of a family of football codes, which emerged from various ball games played worldwide since antiquity.",0
22,The modern game traces its origins to 1863 when the Laws of the Game were originally codified in England by The Football Association.,0
23,"The rules of association football were codified in England by FA in 1863 and the name association football was coined to distinguish the game from the other forms of football played at the time, specifically rugby football.",0
24,"The first written ""reference to the inflated ball used in the game"" was in the mid-14th century: ""Þe heued fro þe body went, Als it were a foteballe.""",0
25,"The Online Etymology Dictionary states that the ""rules of the game"" were made in 1848, before the ""split off in 1863"".",0
26,"The term soccer comes from a slang or jocular abbreviation of the word ""association"", with the suffix ""-er"" appended to it.",0
27,"The word soccer (which arrived at its final form in 1895) was first recorded in 1889 in the earlier form of socca.Within the English-speaking world, association football is now usually called ""football"" in the United Kingdom and mainly ""soccer"" in Canada and the United States.",0
28,"People in countries where other codes of football are prevalent (Australia, Ireland, Wales, South Africa and New Zealand) may use either term, although national associations in Australia and New Zealand now primarily use ""football"" for the formal name.",0
29,Kicking ball games arose independently multiple times across multiple cultures.,0
30,"According to FIFA, the Chinese competitive game cuju (蹴鞠, literally ""kick ball"") is the earliest form of football for which there is evidence.",0
31,Cuju players could use any part of the body apart from hands and the intent was kicking a ball through an opening into a net.,0
32,"It was remarkably similar to modern football, though similarities to rugby occurred.",0
33,"During the Han Dynasty (206 BC – 220 AD), cuju games were standardised and rules were established.Phaininda and episkyros were Greek ball games.",0
34,An image of an episkyros player depicted in low relief on a vase at the National Archaeological Museum of Athens appears on the UEFA European Championship Cup.,0
35,"Athenaeus, writing in 228 AD, referenced the Roman ball game harpastum.",0
36,"Phaininda, episkyros and harpastum were played involving hands and violence.",0
37,"They all appear to have resembled rugby football, wrestling and volleyball more than what is recognizable as modern football.",0
38,"As with pre-codified ""mob football"", the antecedent of all modern football codes, these three games involved more handling the ball than kicking.",0
39,Other games included kemari in Japan and chuk-guk in Korea.Association football in itself does not have a classical history.,0
40,Notwithstanding any similarities to other ball games played around the world FIFA has recognised that no historical connection exists with any game played in antiquity outside Europe.,0
41,The modern rules of association football are based on the mid-19th century efforts to standardise the widely varying forms of football played in the public schools of England.,0
